company_ric
SMCI.OQ
JBL.N
LNT.OQ
EMN.N
VLO.N
MCD.N
PCAR.OQ
PNR.N
PWR.N
FRT.N
CHRW.OQ
KVUE.N
BR.N
TECH.OQ
PCG.N
KEYS.N
CMG.N
GEN.OQ
PAYC.N
ON.OQ
BSX.N
RL.N
WY.N
LW.N
TMUS.OQ
UAL.OQ
STX.OQ
DAY.N
GNRC.N
NTAP.OQ
CINF.OQ
CARR.N
CNP.N
TXN.OQ
NVR.N
MAA.N
CCL.N
COST.OQ
KMI.N
EXPD.N
AZO.N
SNA.N
DUK.N
ZBRA.OQ
UNH.N
REG.OQ
LH.N
GRMN.N
BA.N
VRSN.OQ
WMB.N
MDLZ.OQ
WDC.OQ
CMI.N
BALL.N
RJF.N
EXC.OQ
OXY.N
ARE.N
FDS.N
CB.N
MKC.N
SYY.N
TER.OQ
LLY.N
DECK.N
CTRA.N
FCX.N
DRI.N
JBHT.OQ
SYK.N
PAYX.OQ
DELL.N
POOL.OQ
VICI.N
HD.N
VTR.N
PFG.OQ
LVS.N
AIZ.N
VTRS.OQ
ROP.OQ
EVRG.OQ
DVN.N
NOW.N
CDW.OQ
AVB.N
MOS.N
EXPE.OQ
RMD.N
PM.N
IR.N
MAS.N
CBRE.N
EA.OQ
LOW.N
SPG.N
CL.N
DHI.N
HBAN.OQ
BWA.N
HPQ.N
IVZ.N
FOX.OQ
CRL.N
AIG.N
RCL.N
SW.N
BLDR.N
CE.N
KHC.OQ
AMCR.N
CHTR.OQ
CAH.N
TRV.N
TTWO.OQ
ESS.N
COO.OQ
LULU.OQ
DIS.N
PODD.OQ
TPR.N
TGT.N
WAB.N
TEL.N
BRO.N
ISRG.OQ
IEX.N
AMAT.OQ
BEN.N
JPM.N
MCO.N
META.OQ
AMD.OQ
WM.N
