Instrument,Company Common Name,Ticker Symbol
TXT.N,Textron Inc,TXT
T.N,AT&T Inc,T
MTCH.OQ,Match Group Inc,MTCH
NDAQ.OQ,Nasdaq Inc,NDAQ
FFIV.OQ,F5 Inc,FFIV
LEN.N,Lennar Corp,LEN
CDNS.OQ,Cadence Design Systems Inc,CDNS
NVDA.OQ,NVIDIA Corp,NVDA
WELL.N,Welltower Inc,WELL
PLD.N,Prologis Inc,PLD
ROST.OQ,Ross Stores Inc,ROST
MRK.N,Merck & Co Inc,MRK
WEC.N,WEC Energy Group Inc,WEC
MSCI.N,MSCI Inc,MSCI
TMO.N,Thermo Fisher Scientific Inc,TMO
F.N,Ford Motor Co,F
GEHC.OQ,GE Healthcare Technologies Inc,GEHC
LYB.N,LyondellBasell Industries NV,LYB
IBM.N,International Business Machines Corp,IBM
IQV.N,IQVIA Holdings Inc,IQV
VRTX.OQ,Vertex Pharmaceuticals Inc,VRTX
DXCM.OQ,Dexcom Inc,DXCM
PEP.OQ,PepsiCo Inc,PEP
AOS.N,A O Smith Corp,AOS
BLK.N,BlackRock Inc,BLK
HII.N,Huntington Ingalls Industries Inc,HII
CVS.N,CVS Health Corp,CVS
PH.N,Parker-Hannifin Corp,PH
NSC.N,Norfolk Southern Corp,NSC
MSFT.OQ,Microsoft Corp,MSFT
HWM.N,Howmet Aerospace Inc,HWM
BAX.N,Baxter International Inc,BAX
HUM.N,Humana Inc,HUM
AXON.OQ,Axon Enterprise Inc,AXON
ZBH.N,Zimmer Biomet Holdings Inc,ZBH
TDY.N,Teledyne Technologies Inc,TDY
GILD.OQ,Gilead Sciences Inc,GILD
EPAM.N,Epam Systems Inc,EPAM
NOC.N,Northrop Grumman Corp,NOC
PNW.N,Pinnacle West Capital Corp,PNW
BFb.N,Brown-Forman Corp,BF.B
DE.N,Deere & Co,DE
HSY.N,Hershey Co,HSY
GL.N,Globe Life Inc,GL
SLB.N,Schlumberger NV,SLB
AWK.N,American Water Works Company Inc,AWK
PKG.N,Packaging Corp of America,PKG
CPAY.N,Corpay Inc,CPAY
ADI.OQ,Analog Devices Inc,ADI
MMC.N,Marsh & McLennan Companies Inc,MMC
IT.N,Gartner Inc,IT
ECL.N,Ecolab Inc,ECL
BXP.N,BXP Inc,BXP
GE.N,General Electric Co,GE
ED.N,Consolidated Edison Inc,ED
ALLE.N,Allegion PLC,ALLE
OTIS.N,Otis Worldwide Corp,OTIS
WFC.N,Wells Fargo & Co,WFC
CTVA.N,Corteva Inc,CTVA
FTV.N,Fortive Corp,FTV
AEE.N,Ameren Corp,AEE
PRU.N,Prudential Financial Inc,PRU
DLTR.OQ,Dollar Tree Inc,DLTR
CF.N,CF Industries Holdings Inc,CF
NEE.N,Nextera Energy Inc,NEE
FMC.N,FMC Corp,FMC
KLAC.OQ,KLA Corp,KLAC
AME.N,AMETEK Inc,AME
NUE.N,Nucor Corp,NUE
D.N,Dominion Energy Inc,D
SJM.N,J M Smucker Co,SJM
EMR.N,Emerson Electric Co,EMR
DVA.N,DaVita Inc,DVA
CMS.N,CMS Energy Corp,CMS
HPE.N,Hewlett Packard Enterprise Co,HPE
BDX.N,Becton Dickinson and Co,BDX
MGM.N,MGM Resorts International,MGM
HUBB.N,Hubbell Inc,HUBB
ALGN.OQ,Align Technology Inc,ALGN
SRE.N,Sempra,SRE
REGN.OQ,Regeneron Pharmaceuticals Inc,REGN
EFX.N,Equifax Inc,EFX
USB.N,US Bancorp,USB
CSGP.OQ,CoStar Group Inc,CSGP
HCA.N,HCA Healthcare Inc,HCA
AVGO.OQ,Broadcom Inc,AVGO
DHR.N,Danaher Corp,DHR
NWSA.OQ,News Corp,NWSA
ERIE.OQ,Erie Indemnity Co,ERIE
RTX.N,RTX Corp,RTX
AAPL.OQ,Apple Inc,AAPL
CME.OQ,CME Group Inc,CME
ADM.N,Archer-Daniels-Midland Co,ADM
APD.N,Air Products and Chemicals Inc,APD
FANG.OQ,Diamondback Energy Inc,FANG
WRB.N,W R Berkley Corp,WRB
AXP.N,American Express Co,AXP
CLX.N,Clorox Co,CLX
DOV.N,Dover Corp,DOV
FSLR.OQ,First Solar Inc,FSLR
MTB.N,M&T Bank Corp,MTB
FDX.N,FedEx Corp,FDX
TROW.OQ,T Rowe Price Group Inc,TROW
JKHY.OQ,Jack Henry & Associates Inc,JKHY
O.N,Realty Income Corp,O
MLM.N,Martin Marietta Materials Inc,MLM
RVTY.N,Revvity Inc,RVTY
L.N,Loews Corp,L
QCOM.OQ,Qualcomm Inc,QCOM
IPG.N,Interpublic Group of Companies Inc,IPG
PHM.N,Pultegroup Inc,PHM
ANSS.OQ,ANSYS Inc,ANSS
ULTA.OQ,Ulta Beauty Inc,ULTA
KO.N,Coca-Cola Co,KO
CSCO.OQ,Cisco Systems Inc,CSCO
WTW.OQ,Willis Towers Watson PLC,WTW
ANET.N,Arista Networks Inc,ANET
ES.N,Eversource Energy,ES
CTAS.OQ,Cintas Corp,CTAS
GPN.N,Global Payments Inc,GPN
RSG.N,Republic Services Inc,RSG
LIN.OQ,Linde PLC,LIN
MCK.N,Mckesson Corp,MCK
HLT.N,Hilton Worldwide Holdings Inc,HLT
NFLX.OQ,Netflix Inc,NFLX
FI.N,Fiserv Inc,FI
RF.N,Regions Financial Corp,RF
WMT.N,Walmart Inc,WMT
AMGN.OQ,Amgen Inc,AMGN
KIM.N,Kimco Realty Corp,KIM
DG.N,Dollar General Corp,DG
EQR.N,Equity Residential,EQR
URI.N,United Rentals Inc,URI
TDG.N,TransDigm Group Inc,TDG
CNC.N,Centene Corp,CNC
NKE.N,Nike Inc,NKE
AES.N,AES Corp,AES
ELV.N,Elevance Health Inc,ELV
GWW.N,WW Grainger Inc,GWW
K.N,Kellanova,K
GOOGL.OQ,Alphabet Inc,GOOGL
GM.N,General Motors Co,GM
CCI.N,Crown Castle Inc,CCI
COF.N,Capital One Financial Corp,COF
C.N,Citigroup Inc,C
ODFL.OQ,Old Dominion Freight Line Inc,ODFL
A.N,Agilent Technologies Inc,A
MOH.N,Molina Healthcare Inc,MOH
GS.N,Goldman Sachs Group Inc,GS
MET.N,MetLife Inc,MET
WYNN.OQ,Wynn Resorts Ltd,WYNN
PSA.N,Public Storage,PSA
CPT.N,Camden Property Trust,CPT
GDDY.N,GoDaddy Inc,GDDY
MRNA.OQ,Moderna Inc,MRNA
WDAY.OQ,Workday Inc,WDAY
BK.N,Bank of New York Mellon Corp,BK
FAST.OQ,Fastenal Co,FAST
LDOS.N,Leidos Holdings Inc,LDOS
ORLY.OQ,O'Reilly Automotive Inc,ORLY
CSX.OQ,CSX Corp,CSX
CFG.N,Citizens Financial Group Inc,CFG
NI.N,NiSource Inc,NI
MO.N,Altria Group Inc,MO
DD.N,Dupont De Nemours Inc,DD
AEP.OQ,American Electric Power Company Inc,AEP
HOLX.OQ,Hologic Inc,HOLX
BX.N,Blackstone Inc,BX
BBY.N,Best Buy Co Inc,BBY
LHX.N,L3Harris Technologies Inc,LHX
APA.OQ,APA Corp (US),APA
IFF.N,International Flavors & Fragrances Inc,IFF
CEG.OQ,Constellation Energy Corp,CEG
STT.N,State Street Corp,STT
JCI.N,Johnson Controls International PLC,JCI
FE.N,FirstEnergy Corp,FE
PNC.N,PNC Financial Services Group Inc,PNC
VZ.N,Verizon Communications Inc,VZ
NEM.N,Newmont Corporation,NEM
ROL.N,Rollins Inc,ROL
KEY.N,KeyCorp,KEY
GIS.N,General Mills Inc,GIS
CMCSA.OQ,Comcast Corp,CMCSA
VLTO.N,Veralto Corp,VLTO
PFE.N,Pfizer Inc,PFE
EIX.N,Edison International,EIX
NWS.OQ,News Corp,NWS
MU.OQ,Micron Technology Inc,MU
UPS.N,United Parcel Service Inc,UPS
SOLV.N,Solventum Corp,SOLV
TYL.N,Tyler Technologies Inc,TYL
UNP.N,Union Pacific Corp,UNP
BAC.N,Bank of America Corp,BAC
KMX.N,Carmax Inc,KMX
PARA.OQ,Paramount Global,PARA
IP.N,International Paper Co,IP
MDT.N,Medtronic PLC,MDT
DPZ.OQ,Domino's Pizza Inc,DPZ
MMM.N,3M Co,MMM
CZR.OQ,Caesars Entertainment Inc,CZR
UBER.N,Uber Technologies Inc,UBER
INTU.OQ,Intuit Inc,INTU
OKE.N,ONEOK Inc,OKE
ADP.OQ,Automatic Data Processing Inc,ADP
EQIX.OQ,Equinix Inc,EQIX
CHD.N,Church & Dwight Co Inc,CHD
MTD.N,Mettler-Toledo International Inc,MTD
KDP.OQ,Keurig Dr Pepper Inc,KDP
EBAY.OQ,eBay Inc,EBAY
PEG.N,Public Service Enterprise Group Inc,PEG
BIIB.OQ,Biogen Inc,BIIB
CTSH.OQ,Cognizant Technology Solutions Corp,CTSH
ALB.N,Albemarle Corp,ALB
TRGP.N,Targa Resources Corp,TRGP
NCLH.N,Norwegian Cruise Line Holdings Ltd,NCLH
PLTR.OQ,Palantir Technologies Inc,PLTR
UDR.N,UDR Inc,UDR
DGX.N,Quest Diagnostics Inc,DGX
CBOE.Z,Cboe Global Markets Inc,CBOE
HIG.N,Hartford Insurance Group Inc,HIG
ACGL.OQ,Arch Capital Group Ltd,ACGL
NDSN.OQ,Nordson Corp,NDSN
VRSK.OQ,Verisk Analytics Inc,VRSK
GEV.N,Ge Vernova Inc,GEV
AMT.N,American Tower Corp,AMT
PYPL.OQ,PayPal Holdings Inc,PYPL
CAG.N,Conagra Brands Inc,CAG
UHS.N,Universal Health Services Inc,UHS
TFX.N,Teleflex Inc,TFX
SYF.N,Synchrony Financial,SYF
WAT.N,Waters Corp,WAT
INCY.OQ,Incyte Corp,INCY
LRCX.OQ,Lam Research Corp,LRCX
IDXX.OQ,IDEXX Laboratories Inc,IDXX
PPG.N,PPG Industries Inc,PPG
LKQ.OQ,LKQ Corp,LKQ
BG.N,Bunge Global SA,BG
HES.N,Hess Corp,HES
EOG.N,EOG Resources Inc,EOG
MAR.OQ,Marriott International Inc,MAR
TJX.N,TJX Companies Inc,TJX
MNST.OQ,Monster Beverage Corp,MNST
VMC.N,Vulcan Materials Co,VMC
EW.N,Edwards Lifesciences Corp,EW
ALL.N,Allstate Corp,ALL
BMY.N,Bristol-Myers Squibb Co,BMY
VST.N,Vistra Corp,VST
APH.N,Amphenol Corp,APH
HON.OQ,Honeywell International Inc,HON
GPC.N,Genuine Parts Co,GPC
MHK.N,Mohawk Industries Inc,MHK
MCHP.OQ,Microchip Technology Inc,MCHP
CAT.N,Caterpillar Inc,CAT
PG.N,Procter & Gamble Co,PG
ZTS.N,Zoetis Inc,ZTS
STE.N,STERIS plc,STE
TPL.N,Texas Pacific Land Corp,TPL
BKR.OQ,Baker Hughes Co,BKR
AFL.N,Aflac Inc,AFL
PTC.OQ,PTC Inc,PTC
FITB.OQ,Fifth Third Bancorp,FITB
MSI.N,Motorola Solutions Inc,MSI
XEL.OQ,Xcel Energy Inc,XEL
HSIC.OQ,Henry Schein Inc,HSIC
ITW.N,Illinois Tool Works Inc,ITW
WST.N,West Pharmaceutical Services Inc,WST
DFS.N,Discover Financial Services,DFS
APTV.N,Aptiv PLC,APTV
MPC.N,Marathon Petroleum Corp,MPC
PGR.N,Progressive Corp,PGR
ICE.N,Intercontinental Exchange Inc,ICE
KMB.N,Kimberly-Clark Corp,KMB
SWKS.OQ,Skyworks Solutions Inc,SWKS
ABNB.OQ,Airbnb Inc,ABNB
EL.N,Estee Lauder Companies Inc,EL
TSLA.OQ,Tesla Inc,TSLA
EXR.N,Extra Space Storage Inc,EXR
SPGI.N,S&P Global Inc,SPGI
KKR.N,KKR & Co Inc,KKR
ADBE.OQ,Adobe Inc,ADBE
ADSK.OQ,Autodesk Inc,ADSK
FOXA.OQ,Fox Corp,FOXA
TT.N,Trane Technologies PLC,TT
TSN.N,Tyson Foods Inc,TSN
AKAM.OQ,Akamai Technologies Inc,AKAM
LUV.N,Southwest Airlines Co,LUV
INVH.N,Invitation Homes Inc,INVH
TSCO.OQ,Tractor Supply Co,TSCO
AON.N,Aon PLC,AON
AMZN.OQ,Amazon.com Inc,AMZN
MS.N,Morgan Stanley,MS
BRKb.N,Berkshire Hathaway Inc,BRK.B
GOOG.OQ,Alphabet Inc,GOOG
KR.N,Kroger Co,KR
BKNG.OQ,Booking Holdings Inc,BKNG
STZ.N,Constellation Brands Inc,STZ
WBD.OQ,Warner Bros Discovery Inc,WBD
ABBV.N,AbbVie Inc,ABBV
STLD.OQ,Steel Dynamics Inc,STLD
MA.N,Mastercard Inc,MA
XOM.N,Exxon Mobil Corp,XOM
SWK.N,Stanley Black & Decker Inc,SWK
FICO.N,Fair Isaac Corp,FICO
HRL.N,Hormel Foods Corp,HRL
INTC.OQ,Intel Corp,INTC
TRMB.OQ,Trimble Inc,TRMB
WBA.OQ,Walgreens Boots Alliance Inc,WBA
OMC.N,Omnicom Group Inc,OMC
GLW.N,Corning Inc,GLW
CRM.N,Salesforce Inc,CRM
SBUX.OQ,Starbucks Corp,SBUX
ATO.N,Atmos Energy Corp,ATO
ETR.N,Entergy Corp,ETR
HAL.N,Halliburton Co,HAL
TFC.N,Truist Financial Corp,TFC
TAP.N,Molson Coors Beverage Co,TAP
ABT.N,Abbott Laboratories,ABT
V.N,Visa Inc,V
YUM.N,Yum! Brands Inc,YUM
LYV.N,Live Nation Entertainment Inc,LYV
CPB.OQ,Campbell's Co,CPB
JNPR.N,Juniper Networks Inc,JNPR
EG.N,Everest Group Ltd,EG
FTNT.OQ,Fortinet Inc,FTNT
DTE.N,DTE Energy Co,DTE
HST.OQ,Host Hotels & Resorts Inc,HST
IRM.N,Iron Mountain Inc,IRM
DOC.N,Healthpeak Properties Inc,DOC
FIS.N,Fidelity National Information Services Inc,FIS
DAL.N,Delta Air Lines Inc,DAL
ROK.N,Rockwell Automation Inc,ROK
DOW.N,Dow Inc,DOW
PPL.N,PPL Corp,PPL
NTRS.OQ,Northern Trust Corp,NTRS
ETN.N,Eaton Corporation PLC,ETN
CVX.N,Chevron Corp,CVX
CI.N,Cigna Group,CI
ACN.N,Accenture PLC,ACN
CRWD.OQ,CrowdStrike Holdings Inc,CRWD
PANW.OQ,Palo Alto Networks Inc,PANW
XYL.N,Xylem Inc,XYL
HAS.OQ,Hasbro Inc,HAS
ENPH.OQ,Enphase Energy Inc,ENPH
SO.N,Southern Co,SO
LII.N,Lennox International Inc,LII
EQT.N,EQT Corp,EQT
NRG.N,NRG Energy Inc,NRG
MKTX.OQ,Marketaxess Holdings Inc,MKTX
APO.N,Apollo Global Management Inc,APO
LMT.N,Lockheed Martin Corp,LMT
DLR.N,Digital Realty Trust Inc,DLR
PSX.N,Phillips 66,PSX
SCHW.N,Charles Schwab Corp,SCHW
SNPS.OQ,Synopsys Inc,SNPS
J.N,Jacobs Solutions Inc,J
AVY.N,Avery Dennison Corp,AVY
